Episode,Success,Collision,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
465,7,8,8.854077253,6.145922747,9.295302013,5.704697987
466,11,4,8.858672377,6.141327623,9.308724832,5.691275168
467,9,6,8.858974359,6.141025641,9.308724832,5.691275168
468,6,9,8.852878465,6.147121535,9.281879195,5.718120805
469,11,4,8.857446809,6.142553191,9.281879195,5.718120805
470,9,6,8.857749469,6.142250531,9.268456376,5.731543624
471,11,4,8.862288136,6.137711864,9.295302013,5.704697987
472,9,6,8.862579281,6.137420719,9.295302013,5.704697987
473,9,6,8.862869198,6.137130802,9.308724832,5.691275168
474,11,4,8.867368421,6.132631579,9.308724832,5.691275168
475,9,6,8.867647059,6.132352941,9.315436242,5.684563758
476,7,8,8.863731656,6.136268344,9.302013423,5.697986577
477,13,2,8.872384937,6.127615063,9.32885906,5.67114094
478,9,6,8.872651357,6.127348643,9.315436242,5.684563758
479,9,6,8.872916667,6.127083333,9.315436242,5.684563758
480,12,3,8.879417879,6.120582121,9.33557047,5.66442953
481,13,2,8.887966805,6.112033195,9.389261745,5.610738255
482,11,4,8.892339545,6.107660455,9.375838926,5.624161074
483,11,4,8.896694215,6.103305785,9.416107383,5.583892617
484,9,6,8.896907216,6.103092784,9.429530201,5.570469799
485,7,8,8.893004115,6.106995885,9.402684564,5.597315436
486,15,0,8.905544148,6.094455852,9.44295302,5.55704698
487,11,4,8.909836066,6.090163934,9.456375839,5.543624161
488,11,4,8.914110429,6.085889571,9.469798658,5.530201342
489,9,6,8.914285714,6.085714286,9.496644295,5.503355705
490,11,4,8.918533605,6.081466395,9.516778523,5.483221477
491,9,6,8.918699187,6.081300813,9.530201342,5.469798658
492,9,6,8.918864097,6.081135903,9.543624161,5.456375839
493,11,4,8.923076923,6.076923077,9.543624161,5.456375839
494,7,8,8.919191919,6.080808081,9.510067114,5.489932886
495,7,8,8.915322581,6.084677419,9.483221477,5.516778523
496,11,4,8.919517103,6.080482897,9.523489933,5.476510067
497,11,4,8.923694779,6.076305221,9.55033557,5.44966443
498,9,6,8.923847695,6.076152305,9.55033557,5.44966443
499,9,6,8.924,6.076,9.55033557,5.44966443
500,13,2,8.932135729,6.067864271,9.577181208,5.422818792
501,13,2,8.940239044,6.059760956,9.604026846,5.395973154
502,11,4,8.944333996,6.055666004,9.630872483,5.369127517
503,11,4,8.948412698,6.051587302,9.657718121,5.342281879
504,7,8,8.944554455,6.055445545,9.657718121,5.342281879
505,7,8,8.940711462,6.059288538,9.630872483,5.369127517
506,7,8,8.936883629,6.063116371,9.624161074,5.375838926
507,7,8,8.933070866,6.066929134,9.610738255,5.389261745
508,7,8,8.929273084,6.070726916,9.610738255,5.389261745
509,12,3,8.935294118,6.064705882,9.617449664,5.382550336
510,7,8,8.931506849,6.068493151,9.617449664,5.382550336
511,11,4,8.935546875,6.064453125,9.617449664,5.382550336
512,11,4,8.93957115,6.06042885,9.617449664,5.382550336
513,13,2,8.947470817,6.052529183,9.67114094,5.32885906
514,9,6,8.947572816,6.052427184,9.67114094,5.32885906
515,9,6,8.947674419,6.052325581,9.67114094,5.32885906
