Episode,,,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
377,13,2,13.13228,1.867724868,12.33557047,2.66442953
378,14,1,13.13456,1.865435356,12.3557047,2.644295302
379,15,0,13.13947,1.860526316,12.37583893,2.624161074
380,15,0,13.14436,1.855643045,12.38255034,2.617449664
381,11,4,13.13874,1.861256545,12.36241611,2.637583893
382,13,2,13.13838,1.861618799,12.38255034,2.617449664
383,10,5,13.13021,1.869791667,12.36912752,2.630872483
384,14,1,13.13247,1.867532468,12.38926174,2.610738255
385,14,1,13.13472,1.865284974,12.39597315,2.604026846
386,12,3,13.13178,1.868217054,12.39597315,2.604026846
387,12,3,13.12887,1.871134021,12.38255034,2.617449664
388,15,0,13.13368,1.866323907,12.39597315,2.604026846
389,15,0,13.13846,1.861538462,12.40939597,2.590604027
390,14,1,13.14066,1.859335038,12.43624161,2.563758389
391,14,1,13.14286,1.857142857,12.4295302,2.570469799
392,14,1,13.14504,1.854961832,12.43624161,2.563758389
393,15,0,13.14975,1.850253807,12.45637584,2.543624161
394,15,0,13.15443,1.84556962,12.47651007,2.523489933
395,15,0,13.15909,1.840909091,12.51677852,2.483221477
396,15,0,13.16373,1.83627204,12.51677852,2.483221477
397,9,6,13.15327,1.846733668,12.48993289,2.510067114
398,12,3,13.15038,1.84962406,12.51006711,2.489932886
399,14,1,13.1525,1.8475,12.51677852,2.483221477
400,14,1,13.15461,1.845386534,12.56375839,2.436241611
401,13,2,13.15423,1.845771144,12.56375839,2.436241611
402,15,0,13.15881,1.841191067,12.56375839,2.436241611
403,15,0,13.16337,1.836633663,12.59060403,2.409395973
404,15,0,13.1679,1.832098765,12.59060403,2.409395973
405,15,0,13.17241,1.827586207,12.61744966,2.382550336
406,15,0,13.1769,1.823095823,12.61744966,2.382550336
407,15,0,13.18137,1.818627451,12.6442953,2.355704698
408,12,3,13.17848,1.821515892,12.66442953,2.33557047
409,13,2,13.17805,1.82195122,12.67785235,2.322147651
410,15,0,13.18248,1.817518248,12.73154362,2.268456376
411,15,0,13.18689,1.813106796,12.74496644,2.255033557
412,12,3,13.18402,1.81598063,12.75838926,2.241610738
413,15,0,13.18841,1.811594203,12.77181208,2.228187919
414,15,0,13.19277,1.807228916,12.83892617,2.161073826
415,15,0,13.19712,1.802884615,12.85234899,2.147651007
416,13,2,13.19664,1.803357314,12.85234899,2.147651007
417,11,4,13.19139,1.80861244,12.83892617,2.161073826
418,13,2,13.19093,1.809069212,12.84563758,2.154362416
419,15,0,13.19524,1.804761905,12.84563758,2.154362416
420,15,0,13.19952,1.800475059,12.8590604,2.140939597
421,15,0,13.20379,1.796208531,12.8590604,2.140939597
422,13,2,13.20331,1.796690307,12.85234899,2.147651007
423,15,0,13.20755,1.79245283,12.87919463,2.120805369
424,15,0,13.21176,1.788235294,12.89261745,2.10738255
425,13,2,13.21127,1.788732394,12.90604027,2.093959732
426,11,4,13.20609,1.793911007,12.88590604,2.11409396
427,15,0,13.21028,1.789719626,12.9261745,2.073825503
428,15,0,13.21445,1.785547786,12.93959732,2.060402685
429,14,1,13.21628,1.78372093,12.94630872,2.053691275
430,13,2,13.21578,1.784222738,12.94630872,2.053691275
431,14,1,13.21759,1.782407407,12.93959732,2.060402685
432,15,0,13.22171,1.778290993,12.96644295,2.033557047
433,15,0,13.22581,1.774193548,12.97986577,2.020134228
434,13,2,13.22529,1.774712644,12.96644295,2.033557047
