Episode,Success,Collision,Suc Mean,Col Mean,Log Suc Mean,Log Col Mean,Std Dev,150 rolling Mean Suc,150 rolling Mean Col,Log Suc Roll Mean,Log Col Roll Mean,Total Success,Total Collision
209,4,4,2.019047619,5.980952381,0.702625925,1.788579816,0.46468716,2.373333333,5.626666667,0.864295437,1.7275172,424,1256
210,2,6,2.018957346,5.981042654,0.702581213,1.78859491,0.465558593,2.373333333,5.626666667,0.864295437,1.7275172,426,1262
211,2,6,2.018867925,5.981132075,0.702536921,1.78860986,0.46640118,2.373333333,5.626666667,0.864295437,1.7275172,428,1268
212,2,6,2.018779343,5.981220657,0.702493043,1.78862467,0.467215732,2.373333333,5.626666667,0.864295437,1.7275172,430,1274
213,2,6,2.018691589,5.981308411,0.702449573,1.788639342,0.468003031,2.373333333,5.626666667,0.864295437,1.7275172,432,1280
214,4,4,2.027906977,5.972093023,0.707004215,1.787097456,0.468820438,2.386666667,5.613333333,0.869897692,1.72514472,436,1284
215,2,6,2.027777778,5.972222222,0.706940503,1.78711909,0.469610581,2.4,5.6,0.875468737,1.722766598,438,1290
216,4,4,2.036866359,5.963133641,0.711412529,1.785596122,0.470429883,2.426666667,5.573333333,0.886518574,1.717993319,442,1294
217,2,6,2.036697248,5.963302752,0.7113295,1.785624481,0.471221936,2.426666667,5.573333333,0.886518574,1.717993319,444,1300
218,2,6,2.03652968,5.96347032,0.711247222,1.78565258,0.471987489,2.426666667,5.573333333,0.886518574,1.717993319,446,1306
219,2,6,2.036363636,5.963636364,0.711165686,1.785680423,0.472727266,2.44,5.56,0.891998039,1.715598108,448,1312
220,0,8,2.027149321,5.972850679,0.706630531,1.787224314,0.473389654,2.413333333,5.586666667,0.881008918,1.720382806,448,1320
221,4,4,2.036036036,5.963963964,0.711004798,1.785735355,0.474080502,2.44,5.56,0.891998039,1.715598108,452,1324
222,6,2,2.053811659,5.946188341,0.719697413,1.782750399,0.474851352,2.48,5.52,0.90825856,1.70837786,458,1326
223,0,8,2.044642857,5.955357143,0.715223132,1.784291175,0.475544982,2.453333333,5.546666667,0.897447644,1.713197147,458,1334
224,2,6,2.044444444,5.955555556,0.715126087,1.784324491,0.476214849,2.453333333,5.546666667,0.897447644,1.713197147,460,1340
225,2,6,2.044247788,5.955752212,0.715029892,1.784357511,0.476861582,2.466666667,5.533333333,0.902867712,1.710790407,462,1346
226,2,6,2.044052863,5.955947137,0.714934535,1.784390239,0.477485795,2.466666667,5.533333333,0.902867712,1.710790407,464,1352
227,2,6,2.043859649,5.956140351,0.714840005,1.784422679,0.478088076,2.44,5.56,0.891998039,1.715598108,466,1358
228,2,6,2.043668122,5.956331878,0.714746292,1.784454835,0.478668999,2.453333333,5.546666667,0.897447644,1.713197147,468,1364
229,4,4,2.052173913,5.947826087,0.718899677,1.783025789,0.479276198,2.48,5.52,0.90825856,1.70837786,472,1368
230,4,4,2.060606061,5.939393939,0.723000144,1.781607098,0.479909053,2.493333333,5.506666667,0.913620503,1.705959479,476,1372
231,2,6,2.060344828,5.939655172,0.722873361,1.78165108,0.480519911,2.506666667,5.493333333,0.918953849,1.703535236,478,1378
232,2,6,2.060085837,5.939914163,0.72274765,1.781694683,0.481109342,2.52,5.48,0.924258902,1.701105101,480,1384
233,8,0,2.085470085,5.914529915,0.73499429,1.777412021,0.481816901,2.56,5.44,0.940007258,1.693779061,488,1384
234,6,2,2.10212766,5.89787234,0.742950003,1.774591666,0.482595215,2.6,5.4,0.955511445,1.686398954,494,1386
235,2,6,2.101694915,5.898305085,0.742744122,1.774665036,0.483348113,2.6,5.4,0.955511445,1.686398954,496,1392
236,6,2,2.11814346,5.88185654,0.750539979,1.77187245,0.4841704,2.626666667,5.373333333,0.965715615,1.681448448,502,1394
237,2,6,2.117647059,5.882352941,0.750305594,1.771956842,0.484966256,2.613333333,5.386666667,0.960626546,1.683926764,504,1400
238,4,4,2.125523013,5.874476987,0.754017896,1.770617033,0.48578295,2.64,5.36,0.970778917,1.678963975,508,1404
